Id,drugName,condition,rating,date,usefulCount
131174,A / B Otic,Otitis Media,10,2009/3/27,18
70682,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2017/8/27,3
70720,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2016/4/13,19
70711,Abacavir / dolutegravir / lamivudine,HIV Infection,9,2016/8/31,15
70753,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2015/7/17,15
70744,Abacavir / dolutegravir / lamivudine,HIV Infection,1,2015/11/11,22
70713,Abacavir / dolutegravir / lamivudine,HIV Infection,8,2016/8/13,14
70729,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2015/2/14,28
70680,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2017/9/30,3
70747,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2015/10/27,17
70724,Abacavir / dolutegravir / lamivudine,HIV Infection,9,2016/3/28,10
70739,Abacavir / dolutegravir / lamivudine,HIV Infection,7,2015/12/31,13
70703,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2016/10/31,30
70691,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2017/4/29,1
70685,Abacavir / dolutegravir / lamivudine,HIV Infection,9,2017/7/22,11
70722,Abacavir / dolutegravir / lamivudine,HIV Infection,9,2016/4/9,8
70692,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2017/4/21,1
70742,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2015/11/29,29
70694,Abacavir / dolutegravir / lamivudine,HIV Infection,10,2017/2/24,12
119726,Abacavir / lamivudine,HIV Infection,10,2013/3/16,4
119725,Abacavir / lamivudine,HIV Infection,10,2013/8/16,3
119727,Abacavir / lamivudine,HIV Infection,10,2013/3/12,4
76219,Abatacept,Rheumatoid Arthritis,9,2013/5/10,70
76198,Abatacept,Rheumatoid Arthritis,10,2017/9/29,9
76206,Abatacept,Rheumatoid Arthritis,3,2016/5/5,22
76220,Abatacept,Rheumatoid Arthritis,5,2010/7/13,63
76204,Abatacept,Rheumatoid Arthritis,9,2016/8/15,0
76199,Abatacept,Rheumatoid Arthritis,3,2017/6/20,11
94677,Abilify,Bipolar Disorde,2,2015/8/14,10
94782,Abilify,Bipolar Disorde,1,2013/8/13,38
95083,Abilify,Schizoaffective Disorde,9,2009/5/7,39
95080,Abilify,Depression,2,2009/5/17,38
94896,Abilify,Tourette's Syndrome,9,2010/9/14,26
94696,Abilify,Major Depressive Disorde,4,2015/6/7,15
94903,Abilify,Bipolar Disorde,7,2010/5/26,12
94959,Abilify,Obsessive Compulsive Disorde,9,2009/11/20,24
94576,Abilify,Bipolar Disorde,1,2016/8/15,4
94848,Abilify,Bipolar Disorde,10,2013/1/19,46
94496,Abilify,Major Depressive Disorde,8,2017/6/18,3
95060,Abilify,Obsessive Compulsive Disorde,9,2008/6/16,32
94833,Abilify,Bipolar Disorde,1,2012/1/4,9
94729,Abilify,Depression,10,2014/11/16,119
94794,Abilify,Depression,10,2014/5/13,161
94663,Abilify,Bipolar Disorde,6,2015/10/2,13
95010,Abilify,Depression,9,2011/1/11,45
94495,Abilify,Bipolar Disorde,1,2017/6/19,0
94746,Abilify,Major Depressive Disorde,1,2014/8/23,14
94462,Abilify,Major Depressive Disorde,1,2017/8/21,4
94623,Abilify,Depression,6,2016/6/12,13
94702,Abilify,Bipolar Disorde,1,2015/5/23,12
95019,Abilify,Depression,10,2009/10/22,99
94617,Abilify,Depression,3,2016/6/30,25
94593,Abilify,Major Depressive Disorde,8,2015/12/9,11
95014,Abilify,Depression,10,2009/11/11,70
94499,Abilify,Major Depressive Disorde,1,2017/5/31,2
94624,Abilify,Bipolar Disorde,4,2016/6/4,7
94774,Abilify,Depression,10,2013/9/20,198
95056,Abilify,Agitated State,10,2008/8/23,75
94882,Abilify,Schizoaffective Disorde,1,2012/6/19,23
94730,Abilify,Schizophrenia,6,2014/11/12,10
94884,Abilify,Bipolar Disorde,2,2012/5/8,12
94781,Abilify,Schizoaffective Disorde,9,2013/8/20,49
94754,Abilify,Major Depressive Disorde,3,2014/7/29,15
94832,Abilify,Autism,9,2012/1/14,103
94725,Abilify,Bipolar Disorde,9,2015/1/15,74
94847,Abilify,Depression,10,2013/1/27,84
94577,Abilify,Bipolar Disorde,9,2016/8/14,17
95040,Abilify,Depression,9,2008/3/12,24
94675,Abilify,Bipolar Disorde,9,2015/8/25,19
94731,Abilify,Bipolar Disorde,7,2014/11/12,31
94775,Abilify,20</span> users found this comment helpful.,10,2013/9/7,20
94844,Abilify,Depression,3,2013/2/7,61
94692,Abilify,Depression,10,2015/6/23,78
94891,Abilify,Bipolar Disorde,10,2010/11/13,37
94621,Abilify,Schizophrenia,1,2016/6/18,5
94877,Abilify,Bipolar Disorde,8,2012/7/11,32
